day,draft_1,draft_2,draft_3,draft_4,draft_5,draft_6,draft_7
1,559,1294,26,40,2698,51,1065
2,559,1323,26,40,2698,51,1065
3,701,1323,26,40,2698,51,1065
4,1375,1323,26,40,2698,51,1065
5,1375,1323,26,40,2698,51,1065
6,1576,1323,26,40,2698,51,1065
7,1837,1323,26,40,2698,51,1065
8,1837,1323,26,40,2698,51,1065
9,1837,1323,26,40,2698,51,1065
10,1837,1323,26,40,2698,51,1065
11,1837,1323,26,40,2698,51,1065
12,1837,1323,26,40,2698,51,1065
13,1837,1323,26,40,2698,51,1065
14,1837,1323,26,40,2698,51,1065
15,1837,1486,26,40,2698,51,1065
16,1969,1486,26,40,2698,51,1065
17,1969,1486,26,40,2698,51,1065
18,1969,1506,26,40,2698,51,1065
19,1969,1506,26,40,2698,51,1065
20,1969,1506,26,40,2698,51,1065
21,1969,1506,26,40,2698,51,1065
22,1969,1506,26,40,2698,51,1065
23,1969,1506,26,40,2698,51,1065
24,1969,1506,26,40,2698,51,1065
25,1969,1506,26,40,2698,51,1065
26,1969,1506,26,40,2698,51,1065
27,1969,1506,26,40,2698,51,1065
28,1969,1506,26,40,2698,51,1065
29,1969,1506,26,40,2698,51,1065
30,1969,1506,26,40,2698,51,1065
31,1969,1506,26,40,2698,51,1065
32,1969,1506,26,40,2698,51,1065
33,1969,1506,26,40,2698,51,1065
34,1969,1506,26,40,2698,51,1065
35,1969,1506,26,40,2698,51,1065
36,1969,1506,26,40,2698,51,1065
37,1969,1506,26,40,2698,51,1065
38,1969,1506,26,40,2698,51,1065
39,1969,1506,26,40,2698,51,1065
40,1969,1506,26,40,2698,51,1065
41,1969,1506,26,40,5317,51,1065
42,1969,1506,26,40,5317,51,1065
43,1969,1550,26,40,5317,51,1065
44,1969,1550,26,40,5317,51,1065
45,1969,1550,26,40,5317,51,1065
46,1969,1550,26,40,5317,51,1065
47,1969,1550,26,40,5317,51,1065
48,1969,1550,26,40,5317,51,1065
49,1969,1550,26,40,5317,51,1065
50,1969,1550,26,40,5317,51,1065
51,1969,1550,26,40,5317,51,1065
52,1969,1550,26,40,5317,51,1065
53,1969,1550,26,40,5317,51,1065
54,1969,1550,26,40,5317,51,1065
55,1969,1550,26,40,5317,51,1065
56,1969,1550,26,40,5317,51,1065
57,1969,1550,26,40,5317,51,1065
58,1969,1568,26,40,5317,51,1065
59,1969,1568,26,40,4680,51,1065
60,1956,1568,26,40,4680,51,1065
61,1956,1568,26,40,4767,51,1065
62,1956,1568,26,40,6581,51,1065
63,1956,1568,26,40,7007,51,1065
64,1956,1527,26,40,7007,51,1065
65,1956,1887,26,40,7007,51,1065
66,1956,1939,26,40,7007,51,1065
67,1956,1939,26,40,7007,51,1065
68,1956,1985,26,40,7007,51,1065
69,1956,2108,26,40,7007,51,1065
70,1956,2108,26,40,7007,51,1065
71,1956,2108,26,40,7007,51,1065
72,1956,2108,26,40,7007,51,1065
73,1956,2108,26,40,7007,1432,1065
74,1956,2108,26,40,7007,1432,1065
75,1956,2108,26,40,7280,1432,1065
76,1956,2108,26,40,7280,1432,1065
77,1956,2108,26,40,7280,1432,1065
78,1956,2108,26,40,7280,1432,1065
79,1956,2108,26,40,7280,1432,1065
80,1956,2108,26,40,7280,1432,1065
81,1956,2108,26,66,7280,1432,1065
82,1956,2108,26,66,7280,1432,1065
83,2283,2243,26,66,7280,1432,1065
84,2283,2243,26,66,7280,1432,1065
85,2283,2243,52,66,7280,1432,1065
86,2283,2243,52,110,7280,1435,1065
87,2283,2243,52,110,7280,1435,1065
88,2283,2243,52,110,7341,1435,1065
89,2283,2243,52,110,7371,1435,1065
90,2301,2635,147,110,7351,1435,1065
91,2301,3404,147,110,8007,1523,1060
92,2301,3404,147,110,10066,1523,1060
93,2363,3404,147,244,10066,5371,1060
94,2346,3404,147,244,10066,5441,1060
95,2779,3404,147,244,10066,5441,1060
96,2779,3404,147,244,10066,5441,1060
97,2779,3404,266,244,10066,5441,1060
98,2779,3404,266,295,10066,5441,1195
99,2779,3404,266,295,10066,5441,1195
100,2779,3404,549,295,10066,5441,1334
101,2779,3404,549,295,10066,5441,1456
102,2900,3404,1066,343,10070,5441,5921
103,2873,3404,1066,321,10540,5441,6782
104,2873,3404,1122,321,8917,5441,7405
105,2873,3404,1122,321,8917,5441,8000
106,2873,3404,1610,321,8908,5441,8000
107,2873,3430,1983,321,8908,5441,8000
108,2873,3430,2067,321,8959,5441,8994
109,2873,3430,2067,321,8959,5441,8994
110,2873,3430,2740,321,8959,5441,9383
111,2873,3430,3024,321,8814,5441,9383
112,3583,3430,3025,321,8814,5441,9524
113,6017,4585,3025,321,9441,5441,9524
114,6043,4585,3025,321,9640,5441,9598
115,6884,4585,3025,321,9640,5441,9598
116,7111,4585,3025,321,9640,5441,9382
117,7111,4585,3106,331,9640,5441,9392
118,7625,4585,3106,1332,9640,5441,9363
119,7648,4585,3106,2428,9640,5441,10275
120,10272,4585,3678,3564,9640,5441,13272
121,10272,5605,5163,4712,13206,6607,14346
122,13622,6544,5163,4742,17451,5450,19754
123,18014,8308,5162,4941,21143,6016,21748